"","season","date","visitor","visitor.score","loc","host","host.score","ot","tournament","conference"
"87",1999,1998-10-30,"Mankato State",5,"@","Nebraska-Omaha",1,"","","NC"
"88",1999,1998-10-31,"Alaska",2,"@","Ferris State",5,"","","CC"
"89",1999,1998-10-31,"Western Michigan",4,"@","Miami",7,"","","CC"
"90",1999,1998-10-31,"Northern Michigan",6,"@","Michigan",1,"","","CC"
"91",1999,1998-10-31,"Providence",6,"@","Boston University",4,"","","HE"
"92",1999,1998-10-31,"Boston College",6,"@","Massachusetts-Lowell",4,"","","HE"
"93",1999,1998-10-31,"Fairfield",0,"@","American International",5,"","","MA"
"94",1999,1998-10-31,"Connecticut",5,"@","Iona",3,"","","MA"
"95",1999,1998-10-31,"Canisius",1,"@","Quinnipiac College",2,"OT","","MA"
"96",1999,1998-10-31,"Holy Cross",4,"@","Sacred Heart",1,"","","MA"
"97",1999,1998-10-31,"Alaska-Anchorage",1,"@","Colorado College",4,"","","WC"
"98",1999,1998-10-31,"Denver",5,"@","Michigan Tech",2,"","","WC"
"99",1999,1998-10-31,"Minnesota-Duluth",1,"@","North Dakota",4,"","","WC"
"100",1999,1998-10-31,"Minnesota",3,"@","Wisconsin",2,"","","WC"
"101",1999,1998-10-31,"Wisconsin-Stout",1,"@","Air Force",5,"","","NC"
"102",1999,1998-10-31,"Army",1,"@","Rensselaer",7,"","","NC"
"103",1999,1998-10-31,"Vermont",2,"@","St. Cloud State",4,"","","NC"
"104",1999,1998-10-31,"Merrimack",5,"@","Union",1,"","","NC"
"105",1999,1998-10-31,"Mankato State",5,"@","Nebraska-Omaha",6,"","","NC"
"106",1999,1998-11-01,"New Hampshire",4,"@","Massachusetts",1,"","","HE"
"107",1999,1998-11-06,"Ohio State",1,"@","Michigan State",3,"","","CC"
"108",1999,1998-11-06,"Bowling Green",6,"@","Northern Michigan",5,"","","CC"
"109",1999,1998-11-06,"Miami",2,"@","Alaska",3,"","","CC"
"110",1999,1998-11-06,"Lake Superior",2,"@","Western Michigan",2,"OT","","CC"
"111",1999,1998-11-06,"Brown",4,"@","Harvard",1,"","","EC"
"112",1999,1998-11-06,"Massachusetts-Lowell",2,"@","Maine",3,"OT","","HE"
"113",1999,1998-11-06,"Merrimack",5,"@","Northeastern",4,"","","HE"
"114",1999,1998-11-06,"New Hampshire",1,"@","Providence",6,"","","HE"
"115",1999,1998-11-06,"Connecticut",2,"@","American International",2,"OT","","MA"
"116",1999,1998-11-06,"Canisius",2,"@","Holy Cross",3,"","","MA"
"117",1999,1998-11-06,"Sacred Heart",3,"@","Iona",7,"","","MA"
"118",1999,1998-11-06,"Fairfield",1,"@","Quinnipiac College",6,"","","MA"
"119",1999,1998-11-06,"St. Cloud State",3,"@","Denver",5,"","","WC"
"120",1999,1998-11-06,"Michigan Tech",2,"@","Alaska-Anchorage",3,"","","WC"
"121",1999,1998-11-06,"Wisconsin",3,"@","Minnesota-Duluth",1,"","","WC"
"122",1999,1998-11-06,"Colorado College",7,"@","Minnesota",1,"","","WC"
"123",1999,1998-11-06,"Notre Dame",5,"@","Boston College",5,"OT","","NC"
"124",1999,1998-11-06,"Air Force",2,"@","Bemidji State",3,"OT","","NC"
"125",1999,1998-11-06,"Princeton",1,"@","Boston University",9,"","","NC"
"126",1999,1998-11-06,"Niagara",2,"@","Cornell",3,"","","NC"
"127",1999,1998-11-06,"Mankato State",3,"@","Ferris State",3,"OT","","NC"
"128",1999,1998-11-06,"Clarkson",2,"@","North Dakota",6,"","","NC"
"129",1999,1998-11-06,"Army",6,"@","Nebraska-Omaha",5,"OT","","NC"
"130",1999,1998-11-07,"Lake Superior",1,"@","Michigan State",2,"","","CC"
"131",1999,1998-11-07,"Bowling Green",1,"@","Northern Michigan",4,"","","CC"
"132",1999,1998-11-07,"Miami",2,"@","Alaska",5,"","","CC"
"133",1999,1998-11-07,"Ohio State",2,"@","Western Michigan",2,"OT","","CC"
"134",1999,1998-11-07,"Massachusetts-Lowell",2,"@","Maine",5,"","","HE"
"135",1999,1998-11-07,"Providence",1,"@","New Hampshire",3,"","","HE"
"136",1999,1998-11-07,"Canisius",4,"@","Holy Cross",4,"OT","","MA"
"137",1999,1998-11-07,"Iona",5,"@","Sacred Heart",3,"","","MA"
"138",1999,1998-11-07,"American International",1,"@","Connecticut",3,"","","MA"
"139",1999,1998-11-07,"St. Cloud State",6,"@","Denver",3,"","","WC"
"140",1999,1998-11-07,"Michigan Tech",2,"@","Alaska-Anchorage",1,"","","WC"
"141",1999,1998-11-07,"Wisconsin",3,"@","Minnesota-Duluth",1,"","","WC"
"142",1999,1998-11-07,"Colorado College",6,"@","Minnesota",1,"","","WC"
"143",1999,1998-11-07,"Air Force",3,"@","Bemidji State",7,"","","NC"
"144",1999,1998-11-07,"Mankato State",1,"@","Ferris State",3,"","","NC"
"145",1999,1998-11-07,"Notre Dame",4,"@","Northeastern",3,"","","NC"
"146",1999,1998-11-07,"Clarkson",1,"@","North Dakota",5,"","","NC"
"147",1999,1998-11-07,"Army",2,"@","Nebraska-Omaha",1,"","","NC"
"148",1999,1998-11-08,"Niagara",5,"@","Dartmouth",8,"","","NC"
"149",1999,1998-11-08,"Harvard",3,"@","Massachusetts",1,"","","NC"
"150",1999,1998-11-10,"Northeastern",3,"@","Merrimack",4,"OT","","HE"
"151",1999,1998-11-13,"Lake Superior",1,"@","Ferris State",1,"OT","","CC"
"152",1999,1998-11-13,"Northern Michigan",4,"@","Miami",3,"","","CC"
"153",1999,1998-11-13,"Bowling Green",2,"@","Notre Dame",6,"","","CC"
"154",1999,1998-11-13,"Michigan State",2,"@","Ohio State",3,"","","CC"
"155",1999,1998-11-13,"Alaska",3,"@","Michigan",6,"","","CC"
"156",1999,1998-11-13,"Colgate",3,"@","Brown",2,"","","EC"
"157",1999,1998-11-13,"Yale",1,"@","Clarkson",3,"","","EC"
"158",1999,1998-11-13,"Rensselaer",8,"@","Dartmouth",5,"","","EC"
"159",1999,1998-11-13,"Cornell",7,"@","Harvard",2,"","","EC"
"160",1999,1998-11-13,"Princeton",2,"@","St. Lawrence",0,"","","EC"
"161",1999,1998-11-13,"Union",1,"@","Vermont",4,"","","EC"
"162",1999,1998-11-13,"Northeastern",5,"@","Boston College",4,"OT","","HE"
"163",1999,1998-11-13,"Maine",1,"@","Massachusetts",2,"","","HE"
"164",1999,1998-11-13,"Boston University",2,"@","New Hampshire",2,"OT","","HE"
"165",1999,1998-11-13,"Iona",3,"@","Canisius",2,"","","MA"
"166",1999,1998-11-13,"Holy Cross",7,"@","Fairfield",0,"","","MA"
"167",1999,1998-11-13,"Quinnipiac College",1,"@","Connecticut",2,"","","MA"
"168",1999,1998-11-13,"Denver",4,"@","Colorado College",6,"","","WC"
"169",1999,1998-11-13,"Michigan Tech",3,"@","St. Cloud State",1,"","","WC"
"170",1999,1998-11-13,"North Dakota",4,"@","Minnesota",4,"OT","","WC"
"171",1999,1998-11-13,"Alaska-Anchorage",1,"@","Wisconsin",2,"","","WC"
"172",1999,1998-11-13,"Bethel",2,"@","Air Force",9,"","","NC"
"173",1999,1998-11-13,"Merrimack",5,"@","Army",3,"","","NC"
"174",1999,1998-11-13,"Alabama-Huntsville",4,"@","Mankato State",4,"OT","","NC"
"175",1999,1998-11-13,"Minnesota-Duluth",2,"@","Providence",7,"","","NC"
"176",1999,1998-11-14,"Alaska",6,"@","Bowling Green",5,"","","CC"
"177",1999,1998-11-14,"Lake Superior",3,"@","Ferris State",1,"","","CC"
"178",1999,1998-11-14,"Michigan State",5,"@","Miami",0,"","","CC"
"179",1999,1998-11-14,"Michigan",2,"@","Notre Dame",2,"OT","","CC"
"180",1999,1998-11-14,"Northern Michigan",2,"@","Ohio State",4,"","","CC"
"181",1999,1998-11-14,"Cornell",3,"@","Brown",1,"","","EC"
"182",1999,1998-11-14,"Princeton",4,"@","Clarkson",3,"","","EC"
"183",1999,1998-11-14,"Union",1,"@","Dartmouth",5,"","","EC"
"184",1999,1998-11-14,"Colgate",6,"@","Harvard",3,"","","EC"
"185",1999,1998-11-14,"Yale",1,"@","St. Lawrence",3,"","","EC"
"186",1999,1998-11-14,"Rensselaer",0,"@","Vermont",2,"","","EC"
"187",1999,1998-11-14,"New Hampshire",3,"@","Boston University",1,"","","HE"
"188",1999,1998-11-14,"Boston College",6,"@","Northeastern",3,"","","HE"
"189",1999,1998-11-14,"Maine",1,"@","Massachusetts",1,"OT","","HE"
"190",1999,1998-11-14,"Iona",6,"@","Canisius",4,"","","MA"
"191",1999,1998-11-14,"Fairfield",2,"@","Holy Cross",7,"","","MA"
"192",1999,1998-11-14,"Connecticut",3,"@","Quinnipiac College",8,"","","MA"
"193",1999,1998-11-14,"Colorado College",0,"@","Denver",6,"","","WC"
"194",1999,1998-11-14,"Michigan Tech",3,"@","St. Cloud State",2,"","","WC"
"195",1999,1998-11-14,"North Dakota",5,"@","Minnesota",3,"","","WC"
"196",1999,1998-11-14,"Alaska-Anchorage",2,"@","Wisconsin",2,"OT","","WC"
"197",1999,1998-11-14,"Bethel",0,"@","Air Force",5,"","","NC"
"198",1999,1998-11-14,"Massachusetts-Lowell",4,"@","Army",3,"","","NC"
"199",1999,1998-11-14,"Alabama-Huntsville",2,"@","Mankato State",5,"","","NC"
"200",1999,1998-11-14,"Minnesota-Duluth",5,"@","Providence",4,"","","NC"
"201",1999,1998-11-15,"Iona",4,"@","Hobart",6,"","","NC"
"202",1999,1998-11-20,"Western Michigan",5,"@","Notre Dame",9,"","","CC"
"203",1999,1998-11-20,"Ferris State",2,"@","Northern Michigan",0,"","","CC"
"204",1999,1998-11-20,"Miami",1,"@","Ohio State",2,"OT","","CC"
"205",1999,1998-11-20,"Michigan State",1,"@","Michigan",2,"","","CC"
"206",1999,1998-11-20,"Vermont",2,"@","Colgate",7,"","","EC"
"207",1999,1998-11-20,"Dartmouth",1,"@","Cornell",3,"","","EC"
"208",1999,1998-11-20,"Harvard",2,"@","Princeton",3,"","","EC"
"209",1999,1998-11-20,"Union",5,"@","Rensselaer",4,"OT","","EC"
"210",1999,1998-11-20,"Brown",3,"@","Yale",5,"","","EC"
"211",1999,1998-11-20,"Boston University",2,"@","Boston College",6,"","","HE"
"212",1999,1998-11-20,"Providence",1,"@","Maine",6,"","","HE"
"213",1999,1998-11-20,"Merrimack",3,"@","Massachusetts-Lowell",4,"OT","","HE"
"214",1999,1998-11-20,"American International",5,"@","Canisius",5,"OT","","MA"
"215",1999,1998-11-20,"Connecticut",2,"@","Holy Cross",1,"","","MA"
"216",1999,1998-11-20,"Fairfield",3,"@","Iona",11,"","","MA"
"217",1999,1998-11-20,"Sacred Heart",2,"@","Quinnipiac College",7,"","","MA"
"218",1999,1998-11-20,"Wisconsin",3,"@","Denver",0,"","","WC"
"219",1999,1998-11-20,"Minnesota-Duluth",3,"@","St. Cloud State",4,"","","WC"
"220",1999,1998-11-20,"Minnesota",3,"@","Alaska-Anchorage",5,"","","WC"
"221",1999,1998-11-20,"Colorado College",5,"@","North Dakota",4,"","","WC"
"222",1999,1998-11-20,"Cortland",1,"@","Army",10,"","","NC"
"223",1999,1998-11-20,"Air Force",1,"@","Concordia (Minn.)",2,"","","NC"
"224",1999,1998-11-20,"Nebraska-Omaha",0,"@","Niagara",4,"","","NC"
"225",1999,1998-11-21,"Ohio State",1,"@","Miami",4,"","","CC"
"226",1999,1998-11-21,"Ferris State",4,"@","Northern Michigan",2,"","","CC"
"227",1999,1998-11-21,"Notre Dame",0,"@","Michigan",1,"","","CC"
"228",1999,1998-11-21,"Michigan State",4,"@","Western Michigan",1,"","","CC"
"229",1999,1998-11-21,"Dartmouth",1,"@","Colgate",6,"","","EC"
"230",1999,1998-11-21,"Vermont",5,"@","Cornell",3,"","","EC"
"231",1999,1998-11-21,"Brown",3,"@","Princeton",3,"OT","","EC"
"232",1999,1998-11-21,"Clarkson",1,"@","St. Lawrence",3,"","","EC"
"233",1999,1998-11-21,"Harvard",1,"@","Yale",7,"","","EC"
"234",1999,1998-11-21,"Boston College",2,"@","Boston University",4,"","","HE"
"235",1999,1998-11-21,"Massachusetts-Lowell",3,"@","Merrimack",6,"","","HE"
"236",1999,1998-11-21,"Providence",2,"@","Maine",3,"","","HE"
"237",1999,1998-11-21,"Northeastern",2,"@","New Hampshire",4,"","","HE"
"238",1999,1998-11-21,"American International",4,"@","Canisius",2,"","","MA"
"239",1999,1998-11-21,"Iona",6,"@","Fairfield",2,"","","MA"
"240",1999,1998-11-21,"Quinnipiac College",7,"@","Sacred Heart",1,"","","MA"
"241",1999,1998-11-21,"Holy Cross",4,"@","Connecticut",2,"","","MA"
"242",1999,1998-11-21,"Wisconsin",3,"@","Denver",5,"","","WC"
"243",1999,1998-11-21,"Minnesota",4,"@","Alaska-Anchorage",1,"","","WC"
"244",1999,1998-11-21,"St. Cloud State",4,"@","Minnesota-Duluth",1,"","","WC"
"245",1999,1998-11-21,"Colorado College",4,"@","North Dakota",5,"OT","","WC"
"246",1999,1998-11-21,"Air Force",8,"@","Concordia (Minn.)",0,"","","NC"
"247",1999,1998-11-21,"Nebraska-Omaha",2,"@","Niagara",6,"","","NC"
"248",1999,1998-11-21,"Union",2,"@","Massachusetts",4,"","","NC"
"249",1999,1998-11-24,"Notre Dame",2,"@","Ferris State",4,"","","CC"
"250",1999,1998-11-24,"Harvard",5,"@","Boston University",3,"","","NC"
"251",1999,1998-11-24,"Cornell",4,"@","Northeastern",2,"","","NC"
"252",1999,1998-11-24,"Army",2,"@","Connecticut",4,"","","NC"
"253",1999,1998-11-24,"Massachusetts",1,"@","Vermont",2,"","","NC"
"254",1999,1998-11-27,"Miami",1,"@","Bowling Green",5,"","","CC"
"255",1999,1998-11-27,"Ohio State",3,"@","Alaska",2,"OT","","CC"
"256",1999,1998-11-27,"Northern Michigan",6,"@","Western Michigan",3,"","","CC"
"257",1999,1998-11-27,"North Dakota",4,"@","St. Cloud State",3,"","","WC"
"258",1999,1998-11-27,"Alaska-Anchorage",3,"@","Minnesota-Duluth",1,"","","WC"
"259",1999,1998-11-27,"Holy Cross",1,"@","Army",6,"","","NC"
"260",1999,1998-11-27,"Air Force",2,"@","Colorado College",8,"","","NC"
"261",1999,1998-11-27,"Boston University",2,"@","Clarkson",4,"","","NC"
"262",1999,1998-11-27,"Connecticut",2,"@","Mankato State",8,"","","NC"
"263",1999,1998-11-27,"Yale",3,"@","Merrimack",6,"","","NC"
"264",1999,1998-11-27,"Princeton",6,"@","Providence",5,"","","NC"
"265",1999,1998-11-27,"Niagara",3,"@","Rensselaer",2,"","","NC"
"266",1999,1998-11-27,"Boston College",6,"@","St. Lawrence",2,"","","NC"
"267",1999,1998-11-27,"Vermont",4,"@","Massachusetts-Lowell",3,"OT","","NC"
"268",1999,1998-11-27,"Michigan",3,"@","Minnesota",2,"","","NC"
"269",1999,1998-11-27,"Dartmouth",2,"@","Nebraska-Omaha",1,"","","NC"
"270",1999,1998-11-27,"Michigan State",3,"@","Wisconsin",1,"","","NC"
"271",1999,1998-11-28,"Northern Michigan",3,"@","Bowling Green",5,"","","CC"
"272",1999,1998-11-28,"Ferris State",1,"@","Lake Superior",0,"OT","","CC"
"273",1999,1998-11-28,"Ohio State",3,"@","Alaska",1,"","","CC"
"274",1999,1998-11-28,"Miami",1,"@","Western Michigan",1,"OT","","CC"
"275",1999,1998-11-28,"Harvard",4,"@","Brown",4,"OT","","EC"
"276",1999,1998-11-28,"North Dakota",7,"@","St. Cloud State",4,"","","WC"
"277",1999,1998-11-28,"Alaska-Anchorage",1,"@","Minnesota-Duluth",1,"OT","","WC"
"278",1999,1998-11-28,"Northeastern",5,"@","Army",1,"","","NC"
"279",1999,1998-11-28,"Massachusetts",2,"@","Colorado College",4,"","","NC"
"280",1999,1998-11-28,"Boston College",1,"@","Clarkson",2,"","","NC"
"281",1999,1998-11-28,"Connecticut",1,"@","Mankato State",3,"","","NC"
"282",1999,1998-11-28,"Boston University",2,"@","St. Lawrence",1,"","","NC"
"283",1999,1998-11-28,"Niagara",3,"@","Union",3,"OT","","NC"
"284",1999,1998-11-28,"New Hampshire",5,"@","Massachusetts-Lowell",1,"","","NC"
"285",1999,1998-11-28,"Dartmouth",4,"@","Nebraska-Omaha",7,"","","NC"
"286",1999,1998-11-28,"Providence",5,"@","Yale",3,"","","NC"
"287",1999,1998-11-29,"Massachusetts",6,"@","Air Force",2,"","","NC"
"288",1999,1998-11-29,"Merrimack",1,"@","Princeton",4,"","","NC"
"289",1999,1998-11-29,"Michigan State",1,"@","Minnesota",2,"","","NC"
"290",1999,1998-11-29,"Michigan",1,"@","Wisconsin",1,"OT","","NC"
"291",1999,1998-12-01,"Harvard",4,"@","Rensselaer",7,"","","EC"
"292",1999,1998-12-01,"Sacred Heart",3,"@","Army",6,"","","NC"
"293",1999,1998-12-03,"Providence",2,"@","Merrimack",3,"","","HE"
"294",1999,1998-12-04,"Western Michigan",0,"@","Lake Superior",6,"","","CC"
"295",1999,1998-12-04,"Michigan",1,"@","Miami",0,"","","CC"
"296",1999,1998-12-04,"Alaska",3,"@","Northern Michigan",5,"","","CC"
"297",1999,1998-12-04,"Notre Dame",3,"@","Ohio State",4,"","","CC"
"298",1999,1998-12-04,"St. Lawrence",5,"@","Brown",2,"","","EC"
"299",1999,1998-12-04,"Rensselaer",4,"@","Colgate",3,"OT","","EC"
"300",1999,1998-12-04,"Union",2,"@","Cornell",5,"","","EC"
"301",1999,1998-12-04,"Clarkson",2,"@","Harvard",1,"","","EC"
"302",1999,1998-12-04,"Princeton",5,"@","Yale",2,"","","EC"
"303",1999,1998-12-04,"Massachusetts",2,"@","Boston University",3,"","","HE"
"304",1999,1998-12-04,"Massachusetts-Lowell",2,"@","Northeastern",1,"","","HE"
"305",1999,1998-12-04,"Merrimack",2,"@","Providence",3,"OT","","HE"
"306",1999,1998-12-04,"Boston College",1,"@","New Hampshire",6,"","","HE"
"307",1999,1998-12-04,"Iona",3,"@","American International",6,"","","MA"
"308",1999,1998-12-04,"Quinnipiac College",6,"@","Holy Cross",3,"","","MA"
"309",1999,1998-12-04,"Canisius",10,"@","Sacred Heart",2,"","","MA"
"310",1999,1998-12-04,"Fairfield",1,"@","Connecticut",8,"","","MA"
"311",1999,1998-12-04,"St. Cloud State",5,"@","Colorado College",3,"","","WC"
"312",1999,1998-12-04,"Minnesota-Duluth",5,"@","Michigan Tech",2,"","","WC"
"313",1999,1998-12-04,"Nebraska-Omaha",0,"@","Michigan State",2,"","","NC"
"314",1999,1998-12-04,"Air Force",1,"@","Alaska-Anchorage",3,"","","NC"
"315",1999,1998-12-05,"Michigan",5,"@","Bowling Green",2,"","","CC"
"316",1999,1998-12-05,"Western Michigan",2,"@","Ferris State",2,"OT","","CC"
"317",1999,1998-12-05,"Alaska",5,"@","Lake Superior",4,"","","CC"
"318",1999,1998-12-05,"Notre Dame",1,"@","Ohio State",4,"","","CC"
"319",1999,1998-12-05,"Clarkson",1,"@","Brown",0,"","","EC"
"320",1999,1998-12-05,"Union",0,"@","Colgate",3,"","","EC"
"321",1999,1998-12-05,"Rensselaer",3,"@","Cornell",3,"OT","","EC"
"322",1999,1998-12-05,"St. Lawrence",5,"@","Harvard",1,"","","EC"
"323",1999,1998-12-05,"Yale",2,"@","Princeton",5,"","","EC"
"324",1999,1998-12-05,"New Hampshire",3,"@","Boston College",6,"","","HE"
"325",1999,1998-12-05,"Boston University",3,"@","Massachusetts",2,"","","HE"
"326",1999,1998-12-05,"Northeastern",1,"@","Massachusetts-Lowell",4,"","","HE"
"327",1999,1998-12-05,"Iona",2,"@","American International",0,"","","MA"
"328",1999,1998-12-05,"Connecticut",8,"@","Fairfield",3,"","","MA"
"329",1999,1998-12-05,"Holy Cross",2,"@","Quinnipiac College",3,"","","MA"
"330",1999,1998-12-05,"Canisius",3,"@","Sacred Heart",2,"","","MA"
"331",1999,1998-12-05,"St. Cloud State",3,"@","Colorado College",4,"","","WC"
"332",1999,1998-12-05,"North Dakota",6,"@","Denver",4,"","","WC"
"333",1999,1998-12-05,"Minnesota-Duluth",6,"@","Michigan Tech",2,"","","WC"
"334",1999,1998-12-05,"Nebraska-Omaha",1,"@","Michigan State",3,"","","NC"
"335",1999,1998-12-05,"Air Force",0,"@","Alaska-Anchorage",2,"","","NC"
"336",1999,1998-12-06,"North Dakota",5,"@","Denver",3,"","","WC"
"337",1999,1998-12-08,"Boston College",2,"@","Merrimack",1,"","","HE"
"338",1999,1998-12-08,"Fairfield",1,"@","Army",9,"","","NC"
"339",1999,1998-12-11,"Northern Michigan",1,"@","Michigan",6,"","","CC"
